Location,Variant,Time,AgeGrp,ASFR
China,Medium,2031,45-49,0.768
China,Medium,2031,50-54,0.055
China,Medium,2032,10-14,0.1
China,Medium,2032,15-19,9.666
China,Medium,2032,20-24,36.976
China,Medium,2032,25-29,81.366
China,Medium,2032,30-34,77.122
China,Medium,2032,35-39,41.265
China,Medium,2032,40-44,9.383
China,Medium,2032,45-49,0.776
China,Medium,2032,50-54,0.05
China,Medium,2033,10-14,0.09
China,Medium,2033,15-19,9.263
China,Medium,2033,20-24,36.111
China,Medium,2033,25-29,81.059
China,Medium,2033,30-34,78.803
China,Medium,2033,35-39,42.455
China,Medium,2033,40-44,9.39
China,Medium,2033,45-49,0.768
China,Medium,2033,50-54,0.043
China,Medium,2034,10-14,0.077
China,Medium,2034,15-19,8.943
China,Medium,2034,20-24,35.142
China,Medium,2034,25-29,80.285
China,Medium,2034,30-34,80.025
China,Medium,2034,35-39,43.356
China,Medium,2034,40-44,9.485
China,Medium,2034,45-49,0.742
China,Medium,2034,50-54,0.037
China,Medium,2035,10-14,0.066
China,Medium,2035,15-19,8.733
China,Medium,2035,20-24,34.565
China,Medium,2035,25-29,80.076
China,Medium,2035,30-34,81.87
China,Medium,2035,35-39,44.613
China,Medium,2035,40-44,9.89
China,Medium,2035,45-49,0.731
China,Medium,2035,50-54,0.032
China,Medium,2036,10-14,0.057
China,Medium,2036,15-19,8.472
China,Medium,2036,20-24,34.071
China,Medium,2036,25-29,79.771
China,Medium,2036,30-34,83.598
China,Medium,2036,35-39,45.718
China,Medium,2036,40-44,10.283
China,Medium,2036,45-49,0.705
China,Medium,2036,50-54,0.028
China,Medium,2037,10-14,0.051
China,Medium,2037,15-19,8.0
China,Medium,2037,20-24,33.511
China,Medium,2037,25-29,79.691
China,Medium,2037,30-34,85.653
China,Medium,2037,35-39,46.811
China,Medium,2037,40-44,10.527
China,Medium,2037,45-49,0.672
China,Medium,2037,50-54,0.025
China,Medium,2038,10-14,0.045
China,Medium,2038,15-19,7.35
China,Medium,2038,20-24,33.141
China,Medium,2038,25-29,79.566
China,Medium,2038,30-34,87.693
China,Medium,2038,35-39,47.779
China,Medium,2038,40-44,10.719
China,Medium,2038,45-49,0.653
China,Medium,2038,50-54,0.022
China,Medium,2039,10-14,0.039
China,Medium,2039,15-19,6.605
China,Medium,2039,20-24,32.929
China,Medium,2039,25-29,79.126
China,Medium,2039,30-34,89.318
China,Medium,2039,35-39,48.448
China,Medium,2039,40-44,10.851
China,Medium,2039,45-49,0.647
China,Medium,2039,50-54,0.019
China,Medium,2040,10-14,0.034
China,Medium,2040,15-19,5.88
China,Medium,2040,20-24,32.905
China,Medium,2040,25-29,78.742
